""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PNPLA4"	11.4848565245104	0.831418247552389	0.454681962040577	1.82857099459378	0.0674639011952175	0.161919497344648
"PNPLA6"	6.61543997995187	-1.410590906205	0.606627258061897	-2.3253008951686	0.0200558764691485	0.0669247609864947
"PNPLA8"	6.10636248354249	-0.285324376191075	0.593055524546981	-0.481109043557138	0.630439000939198	0.757416360026861
"PNPO"	59.7038655598111	-0.311769858104476	0.258344251536216	-1.20680005941905	0.22750915318301	0.38442973659157
"PNPT1"	63.8557626272626	0.0322156917037059	0.350126637087719	0.0920115418000453	0.92668886946395	0.956962156083762
"PNRC1"	22.3200497318642	1.14166446651356	0.353628635690233	3.22842765344833	0.00124472739036929	0.0083387257535019
"PNRC2"	7.80446357044796	0.101675003464802	0.513679999240507	0.197934518796005	0.843096296341779	0.905719444116453
"POC1A"	14.1779475283084	-0.0047914877153814	0.416066450204282	-0.0115161597697408	0.990811637016848	0.994650055970557
"POC1B"	8.67183722938969	-0.876094473932795	0.530853732322128	-1.65035003163766	0.0988713648207716	0.212994056269681
"POC5"	4.56666115241041	0.140601088981484	0.715130261849998	0.196609060589546	0.8441334796831	0.90639951713609
"PODXL"	4.75215995984883	-0.289016426457715	0.649799264807102	-0.444778013935598	0.656480184514698	0.776612164567365
"PODXL2"	7.52457986214305	0.0146720854588124	0.55461502316335	0.0264545402595252	0.978894792513395	0.989011599938414
"POF1B"	7.9869958204378	-0.788292808220062	0.53173229696793	-1.4824993943665	0.138207464624092	0.269690698262447
"POFUT1"	21.9075872542789	-1.14596239277475	0.365308722061498	-3.13696970142922	0.00170703766732465	0.0105458769406751
"POFUT2"	2.4298796300897	-0.527507963299788	0.888880974228201	-0.593451742802587	0.552878869404318	0.693842280181956
"POGK"	11.6493976564055	-3.02539493539903	0.603533080448582	-5.01280714082876	5.36416549087242e-07	2.1211557772521e-05
"POGLUT1"	9.19059923139916	0.487016905580159	0.540134135316948	0.901659187480125	0.367237939395822	0.527882663599876
"POGZ"	5.04414705125377	-1.13906212304561	0.67376673315068	-1.69058825109857	0.0909154701409111	0.200686919035697
"POLA1"	10.2629494935444	-2.11291803027121	0.540825786049846	-3.90683670189586	9.3512305081589e-05	0.00119524863048297
