"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
49342.429688,35779.886719,31.066088,2303.989990,94.608894,115.814568,44.492012
46295.582031,33775.722656,53.913616,2582.372803,161.581375,197.916519,44.494484
53028.578125,30567.755859,0.596988,2630.217041,125.409653,-9.487767,44.495152
72304.445312,45812.414062,5.288730,3696.632812,212.980164,252.715897,44.495834
61970.882812,36279.128906,14.319919,3690.621826,189.511551,340.903381,44.495857
58174.949219,36405.031250,19.088654,3225.476807,244.995911,284.347015,44.496540
102727.359375,77031.539062,54.557312,7205.106934,505.510712,630.960266,44.497288
62592.011719,29794.533203,45.379223,3260.206299,161.715958,269.543091,44.498833
55197.710938,43821.746094,6.728193,3239.077148,152.153625,174.836868,44.500427
85264.406250,58504.996094,94.317947,4095.051270,226.379272,249.616333,44.501053
82740.632812,40577.746094,17.436949,496.224884,235.561737,190.510788,44.501068
81177.007812,59656.148438,24.599092,4898.324219,237.157272,311.283264,44.502411
94602.281250,50372.640625,42.453423,4368.759277,308.524780,396.983154,44.510132
47457.867188,24692.185547,14.665782,2954.136963,109.078064,157.223328,44.514118
51056.445312,25589.271484,39.704708,2141.696289,136.161392,98.710213,44.516884
83768.476562,35545.472656,51.449661,3430.575439,110.502815,302.395447,44.517151
56149.804688,29050.609375,81.847076,2903.074951,202.159576,214.593964,44.517735
84963.312500,53396.277344,7.661631,4556.128418,300.439453,451.357025,44.519020
48405.835938,26275.429688,40.026688,2168.168457,73.306717,108.079285,44.520313
52371.101562,33535.230469,-10.849474,2712.426514,173.077469,181.621506,44.520905
75898.117188,51016.921875,17.058661,4095.901367,188.037628,163.530579,44.521667
56385.328125,32411.250000,-52.511009,2248.009766,144.398758,245.947083,44.521687
46115.496094,34115.828125,40.696819,1809.458252,131.024475,149.468887,44.522568
51731.253906,29210.927734,84.346741,2712.183838,180.863922,196.335022,44.523369
83988.203125,49409.968750,25.012899,3613.755615,283.708191,395.375458,44.523849
40973.113281,43450.343750,88.089394,3219.587158,163.330688,236.053711,44.524460
69244.359375,41734.945312,77.608360,4066.636230,157.677322,283.285217,44.525055
61357.527344,36865.675781,-89.749855,3797.664307,124.529762,174.668579,44.526104
89457.460938,57478.179688,71.383636,4314.357422,213.780930,327.693604,44.526894
75255.828125,51729.289062,98.887062,4392.013184,122.227951,150.216751,44.527054
66242.601562,36744.273438,107.360214,4356.919434,278.428864,333.753143,44.528435
82075.664062,37594.175781,99.891754,3231.730713,131.227325,273.931427,44.533436
67623.960938,40088.050781,28.400097,3100.401855,122.498795,163.977966,44.534119
76848.546875,44640.234375,70.915901,4292.074707,231.970230,414.521576,44.535839
68083.101562,29007.837891,32.976421,2817.950928,174.353500,238.621490,44.538559
65153.722656,42373.468750,6.720561,3495.662842,211.378311,230.119919,44.539036
56695.863281,26905.601562,66.479950,2245.642090,166.357178,150.745621,44.540264
65530.980469,37944.082031,44.835842,3084.251465,198.949844,243.043747,44.541706
52743.824219,45534.746094,59.259342,3133.188477,164.272415,198.676437,44.543976
69386.695312,37419.468750,26.784876,4022.495605,249.375854,361.151642,44.547100
