"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
95003.2,91658.3,173.6,3.60964
86485.6,77106.9,101.68,3.60964
69276.8,50562.2,1891,3.61171
82728.8,54164.4,111.6,3.61171
82860.8,68670,314.96,3.61274
75130.4,66296.6,111.6,3.61377
67028.8,71920,220.72,3.61377
57223.2,46384.7,32.24,3.61481
97494.4,100788,138.88,3.61584
94054.4,95385.8,88.04,3.61584
77708,91643.4,332.32,3.61687
91928.8,78917.3,159.96,3.61791
76408.8,88290.5,204.6,3.61894
66803.2,65677.8,203.36,3.61894
66917.6,70089.8,3495.56,3.61997
91953.6,98554,223.2,3.61997
75216.8,50118.3,49.6,3.62101
73560.8,94101.1,156.24,3.62204
80491.2,80373.1,94.24,3.62204
78368.8,83857.5,177.32,3.62307
109278,100584,85.56,3.62411
80127.2,93565.4,76.88,3.62411
89864,73477.4,83.08,3.62514
82942.4,83670.2,365.8,3.62617
77552.8,56087.7,18.6,3.62824
97863.2,74881.1,124,3.6334
79929.6,70925.5,166.16,3.63444
78335.2,119164,218.24,3.6365
66948,54860.1,212.04,3.65407
82903.2,60133.8,111.6,3.65613
77740.8,43350.4,63.24,3.6582
88036.8,61123.3,137.64,3.66543
60382.4,54359.1,150.04,3.66853
75975.2,96245.1,89.28,3.67473
106903,88797.6,2343.6,3.67783
83568,68346.3,110.36,3.67783
74267.2,101778,317.44,3.67886
70445.6,57829.9,342.24,3.68093
67389.6,55631.4,71.92,3.68196
78955.2,65108.7,167.4,3.68299
84830.4,99068.6,189.72,3.68506
85029.6,75729.3,5908.6,3.68712
68399.2,65261.2,81.84,3.68816
81500.8,87824.2,3608.4,3.69849
102296,105216,115.32,3.70055
71518.4,84472.5,5468.4,3.70262
81900.8,84313.8,84.32,3.70469
96535.2,108319,124,3.70675
87359.2,61067.5,75.64,3.70882
90044.8,52058.9,84.32,3.71708
102746,82958.5,102.92,3.71915
80953.6,102603,207.08,3.72225
88050.4,64830.9,99.2,3.72535
72160,59368.7,28.52,3.72638
82560.8,58820.6,1086.24,3.72948
62682.4,32298.3,85.56,3.73051
88676.8,145941,193.44,3.73361
82661.6,96519.1,153.76,3.73775
69051.2,67826.8,286.44,3.73981
73881.6,83643,241.8,3.74085
